Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Gini index (World Bank estimate),SI.POV.GINI,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Albania,ALB,..,..,..,31.7,..,..,..,29,..,34.6,32.9,33.7,33.2,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Algeria,DZA,..,..,..,..,..,..,27.6,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Angola,AGO,..,52,..,..,..,..,..,..,..,..,..,..,..,51.3,..,..
Gini index (World Bank estimate),SI.POV.GINI,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Argentina,ARG,..,51.1,53.3,53.8,51.2,48.6,42.7,41.4,41,41.7,..,42,41.2,41.4,..,..
Gini index (World Bank estimate),SI.POV.GINI,Armenia,ARM,..,..,35.4,34.8,33,37.5,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,..,..
Gini index (World Bank estimate),SI.POV.GINI,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Australia,AUS,..,..,33.5,..,33.5,33.1,..,..,..,34.4,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Austria,AUT,..,28.8,..,..,29.5,29.8,30.8,30.5,30.8,30.5,30.5,30.8,29.7,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Azerbaijan,AZE,..,..,36.5,25.3,26.8,26.6,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bangladesh,BGD,..,33.4,..,..,..,..,..,..,..,..,..,32.4,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Belarus,BLR,..,31.2,30.6,30.3,28.8,26.5,27.2,26.5,26.6,27.2,25.6,25.3,25.4,25.2,..,..
