country,density (km^2),pop2020,area (km^2)
Singapore,8239.9183,5850.342,710
Hong Kong,6790.7437,7496.981,1104
Bahrain,2224.281,1701.575,765
Bangladesh,1116.0086,164689.383,147570
Lebanon,653.0277,6825.445,10452
Mauritius,623.4157,1271.768,2040
Republic of Korea,511.6175,51269.185,100210
India,419.7617,1380004.385,3287590
Haiti,410.9019,11402.528,27750
Sri Lanka,326.3717,21413.249,65610
Philippines,320.0821,109581.078,342353
Viet Nam,293.886,97338.579,331212
Trinidad and Tobago,272.8047,1399.488,5130
Qatar,248.6668,2881.053,11586
Kuwait,239.6773,4270.571,17818
Nigeria,223.1508,206139.589,923768
Italy,200.6459,60461.826,301336
Nepal,197.9658,29136.808,147181
Uganda,189.3645,45741.007,241550
China,148.2775,1439323.776,9706961
Indonesia,143.6144,273523.615,1904569
Thailand,136.0305,69799.978,513120
Czechia,135.7888,10708.981,78865
Denmark,134.4085,5792.202,43094
Cyprus,130.5112,1207.359,9251
Ghana,130.2668,31072.94,238533
Poland,121.0398,37846.611,312679
Republic of Moldova,119.1858,4033.963,33846
United Arab Emirates ,118.3062,9890.402,83600
Jordan,114.2031,10203.134,89342
Sierra Leone,111.193,7976.983,71740
Turkey,107.6355,84339.067,783562
Austria,107.3839,9006.398,83871
Egypt,102.0843,102334.404,1002450
Albania,100.1043,2877.797,28748
Serbia,98.8827,8737.371,88361
Syrian Arab Republic,94.5062,17500.658,185180
Kenya,92.6505,53771.296,580367
Cambodia,92.3521,16718.965,181035
Senegal,85.1147,16743.927,196722
Côte d’Ivoire,81.8025,26378.274,322463
Macedonia,81.0242,2083.374,25713
Romania,80.6981,19237.691,238391
Myanmar,80.4191,54409.8,676578
Burkina Faso,76.578,20903.273,272967
Uzbekistan,74.8082,33469.203,447400
Ukraine,72.4669,43733.762,603500
Tajikistan,66.6502,9537.645,143100
Mexico,65.6355,128932.753,1964375
Bosnia and Herzegovina,64.0672,3280.819,51209
Ecuador,63.7299,17643.054,276841
Bulgaria,62.6669,6948.445,110879
Afghanistan,59.685,38928.346,652230
Guinea-Bissau,54.4775,1968.001,36125
Guinea,53.4164,13132.795,245857
South Africa,48.5724,59308.69,1221037
Madagascar,47.1705,27691.018,587041
Belarus,45.517,9449.323,207600
Colombia,44.5658,50882.891,1141748
United States of America,35.316,331002.651,9372610
Kyrgyzstan,32.629,6524.195,199951
Eritrea,30.1566,3546.421,117600
Niger,19.1055,24206.644,1267000
Oman,16.4996,5106.626,309500
Mali,16.3288,20250.833,1240192
Argentina,16.2551,45195.774,2780400
Saudi Arabia,16.1948,34813.871,2149690
Democratic Republic of the Congo,16.1348,5518.087,342000
Turkmenistan,12.3565,6031.2,488100
Bolivia (Plurinational State of),10.6255,11673.021,1098581
Russian Federation ,8.5351,145934.462,17098242
Kazakhstan,6.8908,18776.707,2724900
Libya,3.9052,6871.292,1759540
Japan,334.6558,126476.461,377930
