Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2002 [YR2002],2003 [YR2003],2004 [YR2004],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,0,877.0144235,927.8575479,925.4416162,1710.575645,1699.487997,1914.774351,2015.514962,2069.424642,2087.305323,2128.988026,2202.570851,2241.923246,2293.551684
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,2548.875438,4661.367207,4994.585474,5422.802952,9635.183332,10207.76944,10526.29502,10570.97718,11259.24621,11661.97687,12002.9319,13037.01002,13833.9816,14495.07851
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,6916.718865,9294.135581,10019.67993,10591.37471,13095.86782,13500.47566,13303.4155,13056.78872,13003.19323,12015.64908,11624.31583,11550.55546,11750.37917,11820.08768
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,3267.067004,3768.716445,3822.127628,4207.120526,6587.986901,6710.750346,7412.965263,7682.477158,8179.296007,7337.569559,7103.225938,7310.901738,7097.118768,6929.678158
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,11595.09015,16373.16,17463.35539,18717.72024,20611.91407,20347.18454,19597.59032,18796.39395,19039.0045,18912.31748,19918.79063,19840.07612,21614.06606,22816.4522
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,7195.691444,10052.48666,11025.18552,12214.74008,18061.93436,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23562.91883,23282.63704,22947.1398
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,2773.937657,3463.98378,4043.663101,4614.862114,7506.308865,8025.452905,9364.407767,9835.833011,10036.88984,9969.685301,10704.23341,12115.05701,13014.99203,14219.62771
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,23309.02052,29847.92835,30355.73238,33053.24653,32624.20909,34326.14482,33569.1865,36477.77939,36444.26206,36765.11607,37359.37344,38442.41384,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,17332.33387,28718.24108,29732.1296,31299.84952,39301.60265,41965.35842,42826.78958,45902.04795,46880.22066,46276.15069,47349.92795,48905.4172,51036.40589,53320.26904
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,19436.76437,31178.69333,32109.13812,33743.19828,42037.49048,44452.73275,46457.34578,47922.04912,48799.71547,49879.26647,52633.25429,54637.00128,56871.2114,59110.56256
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Azerbaijan,AZE,5360.070529,4233.440063,4716.377612,5245.425251,14926.63764,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14544.95336,15000.8165
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Bahamas, The",BHS,21497.15541,29715.51949,29362.61408,29869.39793,31090.26448,31522.60503,32216.49207,31855.29977,32562.33142,33542.15359,34182.60462,35308.4134,36338.24768,37265.8121
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bahrain,BHR,26875.5967,41932.24131,42860.48222,44185.44503,46873.09888,47377.57244,50675.58204,51494.41172,51101.90053,45686.24664,44790.08785,47642.44829,47333.4912,46891.85984
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bangladesh,BGD,850.5049937,1453.2619,1523.79715,1620.424729,2439.069568,2620.822484,2937.588452,3143.518357,3367.995525,3555.50551,3849.110987,4161.090135,4546.227418,4950.743581
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Barbados,BRB,9579.67602,12887.73195,13368.4474,13873.84569,16127.81138,16304.38242,15310.006,15334.72037,15175.49564,15510.82429,15952.07031,15788.82052,16044.7278,16286.97952
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belarus,BLR,5232.078293,6709.845503,7367.193779,8489.484087,15349.22813,16543.04373,18071.5056,18948.46847,18955.90703,18041.2425,17725.75218,18280.19892,19330.86888,19943.29252
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belgium,BEL,18653.79622,30282.28865,30899.06542,32034.01508,39866.72727,40942.37271,42290.76205,43671.11959,44929.68559,46213.26653,48608.95778,50725.18631,52249.57346,54545.15088
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belize,BLZ,3335.078203,5963.817013,6467.829782,6781.735236,7563.95958,7684.817622,7272.870015,7226.994831,7170.529464,7244.391078,7179.462319,7108.8667,7287.084978,7295.230136
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Benin,BEN,1259.572448,1895.00044,1936.88123,2015.637506,2364.118351,2416.327107,2498.497313,2669.689821,2833.411926,2886.831867,3004.809187,3044.513887,3235.361695,3423.551727
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bermuda,BMU,29458.44947,49099.09171,51379.34248,53635.84137,61837.42573,61550.22479,58563.34541,59474.59848,0,0,0,0,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bhutan,BTN,1507.333638,3229.545528,3480.089714,3723.426756,6693.506149,7295.842805,7912.133367,7989.655431,8666.419567,9500.768189,10457.2018,11142.39995,11613.16247,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bolivia,BOL,2374.677915,3580.8176,3677.638725,3863.454139,5167.113773,5460.25549,5921.64949,6624.805273,7056.82839,7133.874461,7499.778858,8423.696794,8859.773727,9086.060696
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bosnia and Herzegovina,BIH,0,5136.513774,5373.217922,6200.652275,9354.550815,9976.496637,10304.07475,11016.54419,11433.16261,12013.91994,12990.01581,13788.48206,14932.37321,15791.67474
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Botswana,BWA,5682.074439,9347.827916,9790.967328,10144.54499,13352.30022,14252.71293,13590.51537,14707.7017,16300.83711,15547.17588,17260.26359,17253.23161,18050.25374,18502.81822
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brazil,BRA,6701.209044,9568.063847,9733.770816,10445.34451,14299.5517,15040.05818,15046.28988,15588.72621,15718.56565,14744.11291,14256.16325,14519.84913,14940.67261,15258.85083
