Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,104.856399085617,104.476105278329,103.671183176613,102.663237607573,101.562370847874,100.349127271631,100.97094339462,101.600182820225,102.07865885603,102.249013873754,102.045822933537,100.22446079515,97.9259470792508,95.3387417894031,92.6491409190029,89.9540923341871,87.9417901503625,86.0007530959387,84.0776560757747,82.1097746744375
Afghanistan,AFG,"Age dependency ratio, old",SP.POP.DPND.OL,4.69519507144753,4.64542487417667,4.59451214978874,4.5460364961842,4.50174485286745,4.46275322367746,4.52550630016471,4.57760984872549,4.62187823398627,4.66303325944435,4.70389257344101,4.71420854849727,4.72309470865552,4.7276027993058,4.72293792821488,4.7083204539433,4.73598531272863,4.75092540711815,4.75827282360713,4.76361694888949
Afghanistan,AFG,"Age dependency ratio, young",SP.POP.DPND.YG,100.161204014169,99.8306804041526,99.0766710268237,98.117201111389,97.0606259950063,95.8863740479536,96.445437094455,97.0225729714997,97.4567806220436,97.5859806143097,97.3419303600957,95.5102522466522,93.2028523705953,90.6111389900973,87.926202990788,85.2457718802438,83.2058048376338,81.2498276888205,79.3193832521676,77.3461577255481
Afghanistan,AFG,"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,452431,461460,472676,484508,495002,503067,514035,523082,530525,536798,542129,541144,539409,537539,536553,537333,542779,549973,557981,565377
Afghanistan,AFG,"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,471059,481869,496831,512890,526132,534272,544627,550563,553990,557460,562586,561841,562794,564807,567175,569568,575645,581860,587940,593443
Afghanistan,AFG,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,428688,445941,453119,467749,480803,490733,501099,511456,518534,524869,531183,537251,533957,535469,536969,538589,537854,547307,551777,556096
Afghanistan,AFG,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,445651,464933,474798,493459,509353,519778,531297,538619,542813,547124,553409,557471,557382,561353,565060,567798,569813,577401,581216,584783
Afghanistan,AFG,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,406743,423791,442477,450772,465754,477200,488833,497155,506093,512833,520209,527222,534315,531963,535560,538047,538176,537340,546330,548497
Afghanistan,AFG,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,422636,441222,462674,474300,492069,504261,517203,525522,530722,536094,543625,548777,555121,556742,561680,564897,567550,568649,575171,577408
Afghanistan,AFG,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,386472,403030,421765,440105,450028,462665,475526,485005,492479,500645,509133,516933,525165,532320,532449,535829,537161,536726,536250,542294
Afghanistan,AFG,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,401818,419412,440459,461638,474434,487922,502161,511902,518821,524401,533231,539420,546864,554092,557091,560912,564447,565896,566657,571094
Afghanistan,AFG,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,367750,383600,402045,420787,436741,447328,461320,471976,480464,488610,497881,506348,515521,524034,530052,532054,534837,535237,534701,535188
Afghanistan,AFG,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,382999,399386,419669,440872,459037,470964,486331,497414,505698,513435,522219,529405,537886,546254,552671,555887,560489,562598,563420,564602
Afghanistan,AFG,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,350453,365441,383322,402064,418868,431387,446361,458156,467731,476709,486379,495432,505387,515021,522638,526841,531233,532812,532741,532705
Afghanistan,AFG,"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,365982,381028,400268,421055,439799,453587,469875,482178,491789,500774,510585,518738,528200,537633,545259,549869,555662,558678,559931,560882
Afghanistan,AFG,"Age population, age 06, female, interpolated",SP.POP.AG06.FE.IN,334457,348427,365601,384006,401190,415040,430887,443634,454316,464252,474553,484108,494767,505321,514261,520313,526489,529387,530217,530275
Afghanistan,AFG,"Age population, age 06, male, interpolated",SP.POP.AG06.MA.IN,350571,364143,382218,402232,421030,435994,453023,466311,477169,487405,498324,507414,517824,528256,537005,542903,550023,554062,556055,557204
Afghanistan,AFG,"Age population, age 07, female, interpolated",SP.POP.AG07.FE.IN,319637,332430,348754,366681,383840,398486,415136,428689,440252,451218,462329,472298,483579,494979,505002,512588,520745,525122,526976,527653
Afghanistan,AFG,"Age population, age 07, male, interpolated",SP.POP.AG07.MA.IN,336569,348535,365324,384444,402852,418387,436008,450074,461917,473364,485431,495429,506753,518146,527942,535035,543629,548816,551655,553372
Afghanistan,AFG,"Age population, age 08, female, interpolated",SP.POP.AG08.FE.IN,305869,317727,332650,349959,366953,381924,398784,413596,425856,437588,449633,460179,471743,483908,494943,503787,513476,520175,523193,524593
Afghanistan,AFG,"Age population, age 08, male, interpolated",SP.POP.AG08.MA.IN,323779,334482,349391,367495,385388,400966,418637,433726,446321,458686,471899,482834,494984,507302,518107,526311,536104,543011,546811,549189
Afghanistan,AFG,"Age population, age 09, female, interpolated",SP.POP.AG09.FE.IN,293029,304391,317964,333707,350395,365551,381788,397511,411442,423716,436392,447801,459686,472025,483996,494030,504492,513378,519048,521293
Afghanistan,AFG,"Age population, age 09, male, interpolated",SP.POP.AG09.MA.IN,312003,322023,335169,351191,368442,383933,400930,416683,430667,443688,457724,469651,482624,495721,507499,516776,527291,535850,541603,544746
Afghanistan,AFG,"Age population, age 10, female, interpolated",SP.POP.AG10.FE.IN,281098,292162,304968,319002,334029,349231,364573,380148,395646,409955,422998,435002,447581,460008,472071,483225,494151,504226,512729,517947
Afghanistan,AFG,"Age population, age 10, male, interpolated",SP.POP.AG10.MA.IN,301241,310808,322939,336762,351819,367095,383260,398784,413982,428686,443252,455859,469724,483567,496116,506430,517390,526969,534815,540134
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,59.7235859880878,58.6864512248242,57.5428762040295,56.3167129847716,55.0733346960794,53.8499697049889,52.6195322393179,51.6043424952196,50.7527371212722,50.0440775642123,49.4779086790466,48.1180582286677,47.033079896868,46.2566558556374,45.7746795115992,45.5504024648604,45.6450337108694,45.6820974885622,45.8100373938934,46.2035217630944
Albania,ALB,"Age dependency ratio, old",SP.POP.DPND.OL,11.2735220526757,11.6072576797826,11.9610331804555,12.3289298563556,12.7023306544614,13.078351174864,13.591620516027,14.1320471369403,14.6993066726682,15.2930184213467,15.9125347586229,16.3151924258376,16.743383665768,17.2155537368777,17.7563717993417,18.3779738972574,18.8700857938335,19.4180639378306,20.0412141646094,20.7647356526265
Albania,ALB,"Age dependency ratio, young",SP.POP.DPND.YG,48.450063935412,47.0791935450416,45.581843023574,43.987783128416,42.3710040416181,40.7716185301249,39.027911723291,37.4722953582793,36.053430448604,34.7510591428656,33.5653739204237,31.8028658028301,30.2896962311,29.0411021187597,28.0183077122575,27.172428567603,26.7749479170359,26.2640335507317,25.7688232292839,25.438786110468
Albania,ALB,"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,24441,23224,21939,20646,19443,18414,17648,17027,16603,16430,16527,16858,17454,18126,18618,18752,18279,17449,16428,15476
Albania,ALB,"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,26563,25473,24282,23056,21891,20858,19971,19182,18566,18218,18186,18376,18877,19493,19955,20071,19669,18921,17977,17074
Albania,ALB,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,25625,24392,23116,21890,20697,19562,18288,17631,16826,16253,15966,16077,16153,16536,16899,17116,18246,16724,16356,15974
Albania,ALB,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,27955,26705,25593,24320,23074,21910,20752,19856,19003,18377,18031,17807,17947,18198,18441,18554,19598,18144,17783,17401
Albania,ALB,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,26799,25574,24396,23149,21964,20751,19427,18126,17339,16457,15856,15657,15649,15487,15689,15912,16899,17796,16224,16258
Albania,ALB,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,29281,28067,26767,25610,24307,23047,21814,20635,19676,18829,18224,17742,17465,17402,17429,17492,18364,19154,17603,17595
Albania,ALB,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,27944,26738,25578,24424,23229,21964,20629,19254,17948,16987,16138,15646,15369,15243,14936,15102,15882,16734,17373,16366
Albania,ALB,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,30524,29367,28095,26767,25566,24243,22966,21707,20528,19531,18717,18001,17491,17154,16865,16840,17483,18201,18722,17679
Albania,ALB,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,29038,27867,26735,25607,24432,23184,21869,20467,19064,17780,16752,15987,15455,15104,14864,14648,15170,15898,16595,16947
Albania,ALB,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,31665,30586,29365,28058,26738,25472,24178,22874,21610,20450,19464,18534,17815,17271,16862,16551,16927,17501,18049,18283
Albania,ALB,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,30062,28939,27850,26758,25615,24394,23120,21730,20287,18884,17636,16624,15855,15287,14864,14510,14744,15283,15940,16452
Albania,ALB,"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,32688,31703,30556,29295,27991,26707,25419,24101,22792,21544,20415,19296,18390,17660,17070,16579,16665,17040,17529,17892
Albania,ALB,"Age population, age 06, female, interpolated",SP.POP.AG06.FE.IN,30995,29935,28903,27861,26760,25575,24372,23010,21573,20117,18731,17505,16517,15746,15146,14651,14563,14883,15420,15979
Albania,ALB,"Age population, age 06, male, interpolated",SP.POP.AG06.MA.IN,33573,32702,31645,30455,29193,27922,26666,25353,24035,22743,21524,20249,19168,18277,17526,16878,16651,16804,17163,17551
Albania,ALB,"Age population, age 07, female, interpolated",SP.POP.AG07.FE.IN,31817,30835,29874,28895,27849,26712,25613,24301,22880,21427,19976,18576,17396,16435,15665,15031,14591,14660,15046,15555
Albania,ALB,"Age population, age 07, male, interpolated",SP.POP.AG07.MA.IN,34303,33564,32617,31514,30321,29090,27898,26613,25298,24003,22742,21358,20125,19073,18185,17401,16839,16748,16953,17280
Albania,ALB,"Age population, age 08, female, interpolated",SP.POP.AG08.FE.IN,32508,31621,30743,29841,28864,27785,26742,25600,24210,22762,21311,19768,18443,17312,16380,15612,14886,14576,14779,15206
Albania,ALB,"Age population, age 08, male, interpolated",SP.POP.AG08.MA.IN,34861,34259,33453,32456,31349,30185,29042,27862,26570,25280,24021,22519,21236,20035,19000,18103,17280,16827,16856,17097
Albania,ALB,"Age population, age 09, female, interpolated",SP.POP.AG09.FE.IN,33047,32274,31495,30681,29785,28778,27702,26720,25565,24130,22675,21022,19585,18338,17258,16355,15459,14787,14583,14897
Albania,ALB,"Age population, age 09, male, interpolated",SP.POP.AG09.MA.IN,35227,34764,34111,33265,32261,31182,30048,28980,27837,26566,25315,23664,22343,21150,19969,18938,17976,17186,16824,16958
Albania,ALB,"Age population, age 10, female, interpolated",SP.POP.AG10.FE.IN,33480,32772,32110,31398,30594,29672,28513,27565,26674,25542,24085,22289,20760,19431,18265,17235,16239,15354,14711,14588
Albania,ALB,"Age population, age 10, male, interpolated",SP.POP.AG10.MA.IN,35458,35064,34561,33884,33041,32064,30913,29897,28930,27852,26618,24779,23357,22206,21090,19914,18849,17876,17101,16816
Algeria,DZA,Age dependency ratio (% of working-age population),SP.POP.DPND,63.0526800301058,60.2510597970081,57.7529060630343,55.5153128383233,53.5101345672183,51.7731856989918,50.4904819170986,49.5579922347266,48.9597767177929,48.669972755107,48.6745355689317,49.2130947282274,49.7782226763803,50.4972171724543,51.5091894345198,52.8377883037925,54.1840138271847,55.8040014735226,57.508032444058,58.9904904950003
Algeria,DZA,"Age dependency ratio, old",SP.POP.DPND.OL,7.02334568729136,7.11110035462438,7.19798469185498,7.2857200629057,7.37436620802933,7.46642385196593,7.57484072707642,7.68826848410833,7.8117934533217,7.95077776191989,8.11198868902637,8.21955943821732,8.33669511342277,8.48312864559405,8.68620464764509,8.96185243837827,9.26334759584305,9.62433381113148,10.0214421059224,10.4182936955012
Algeria,DZA,"Age dependency ratio, young",SP.POP.DPND.YG,56.0293343428145,53.1399594423837,50.5549213711793,48.2295927754176,46.135768359189,44.3067618470259,42.9156411900222,41.8697237506183,41.1479832644712,40.7191949931871,40.5625468799053,40.99353529001,41.4415275629575,42.0140885268603,42.8229847868748,43.8759358654142,44.9206662313416,46.1796676623911,47.4865903381357,48.5721967994992
Algeria,DZA,"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,267624,265309,269152,279017,294285,314088,338940,367955,397934,424759,445525,457120,462298,463409,464157,467262,474833,484738,493943,498220
Algeria,DZA,"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,280376,277994,281781,291699,307244,327616,353423,383651,414980,443135,465094,477212,482793,484191,485144,488410,496157,506198,515450,519630
Algeria,DZA,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,286518,270376,276736,278010,284305,295773,312029,334944,359521,383676,405182,438931,435281,446543,456624,466410,469883,487171,495062,498788
Algeria,DZA,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,299582,283164,289379,290528,296878,308640,325354,349239,374796,400020,422629,457923,454136,466113,476831,487133,490987,508616,516657,520375
Algeria,DZA,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,303553,286862,272850,280164,279361,283945,294882,309822,329269,350195,371203,402754,433171,428290,445190,460044,467103,472155,491760,495898
Algeria,DZA,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,316992,299959,285593,292683,291748,296393,307590,322923,343181,364939,386940,419873,451756,446709,464542,480169,487759,493184,513206,517445
Algeria,DZA,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,318779,302421,286908,275209,278830,277871,283806,293851,307579,323739,343195,371417,401087,427775,430580,449024,459542,467448,474164,489903
Algeria,DZA,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,332636,315897,299951,287846,291203,290111,296132,306380,320474,337272,357594,386986,418029,446044,449025,468410,479589,488006,495093,511215
Algeria,DZA,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,332245,316947,300975,286834,277600,276814,278134,283531,292785,305453,320764,344777,372329,399760,422258,434208,447934,458694,467531,476158
Algeria,DZA,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,346545,330851,314395,299758,290099,289030,290283,295717,305151,318203,334158,359096,387867,416609,440218,452746,467243,478635,487968,496984
Algeria,DZA,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,344002,330333,314786,299403,286796,280038,277198,278264,283223,291832,303516,322689,347003,373558,398326,416456,433017,446508,457592,467603
Algeria,DZA,"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,358749,344691,328638,312700,299569,292388,289345,290304,295283,304092,316202,336035,361370,389146,415092,434071,451487,465711,477402,487914
Algeria,DZA,"Age population, age 06, female, interpolated",SP.POP.AG06.FE.IN,354097,342627,328076,312493,297870,286809,280262,277449,278360,283022,291058,304763,325217,349527,374692,396627,415650,431500,444833,456478
Algeria,DZA,"Age population, age 06, male, interpolated",SP.POP.AG06.MA.IN,369280,357451,342392,326224,311010,299419,292558,289510,290306,295013,303291,317369,338633,364016,390338,413275,433213,449874,463908,476154
Algeria,DZA,"Age population, age 07, female, interpolated",SP.POP.AG07.FE.IN,362581,353880,340895,325682,310241,296389,286592,280353,277667,278563,282996,290607,306580,328025,351964,375578,396694,414532,429743,443148
Algeria,DZA,"Age population, age 07, male, interpolated",SP.POP.AG07.MA.IN,378168,369161,355691,339884,323816,309362,299161,292577,289655,290469,294995,302663,319219,341581,366583,391251,413316,432017,447999,462091
Algeria,DZA,"Age population, age 08, female, interpolated",SP.POP.AG08.FE.IN,369504,363196,353295,339022,323331,308044,295861,286239,280409,277991,278937,281323,290703,308661,330751,354170,376262,396463,413182,427976
Algeria,DZA,"Age population, age 08, male, interpolated",SP.POP.AG08.MA.IN,385445,378894,368568,353714,337381,321452,308774,298747,292576,289961,290880,293088,302689,321398,344455,368891,391926,413034,430569,446111
Algeria,DZA,"Age population, age 09, female, interpolated",SP.POP.AG09.FE.IN,374915,370152,363434,352563,337192,321038,307539,295191,285851,280573,278487,277264,280179,291046,310664,333260,354841,376664,396012,411824
Algeria,DZA,"Age population, age 09, male, interpolated",SP.POP.AG09.MA.IN,391140,386199,379133,367748,351742,334926,320826,308024,298313,292737,290514,289013,291818,303024,323506,347086,369556,392296,412512,429108
Algeria,DZA,"Age population, age 10, female, interpolated",SP.POP.AG10.FE.IN,378827,375114,370417,363520,351875,335423,320753,306887,294487,285572,280909,277542,276114,279274,291313,312462,333542,355248,376856,395551
Algeria,DZA,"Age population, age 10, male, interpolated",SP.POP.AG10.MA.IN,395289,391431,386459,379139,366933,349818,334430,320033,307256,298046,293148,289467,287774,290844,303291,325385,347352,369933,392437,411976
American Samoa,ASM,Age dependency ratio (% of working-age population),SP.POP.DPND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age dependency ratio, old",SP.POP.DPND.OL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age dependency ratio, young",SP.POP.DPND.YG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Age population, age 06, female, interpolated",SP.POP.AG06.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
