bioguide,chamber,name,party,rank,thomas,thomas_id,title
N000181,,Devin Nunes,majority,1,01710,HLIG,Chair
C001062,,K. Michael Conaway,majority,3,01805,HLIG,
K000210,,Peter T. King,majority,4,00635,HLIG,
L000554,,Frank A. LoBiondo,majority,5,00699,HLIG,
R000583,,Thomas J. Rooney,majority,7,01916,HLIG,
P000602,,Mike Pompeo,majority,9,02022,HLIG,
R000435,,Ileana Ros-Lehtinen,majority,10,00985,HLIG,
T000463,,Michael R. Turner,majority,11,01741,HLIG,
W000815,,Brad R. Wenstrup,majority,12,02152,HLIG,
S001192,,Chris Stewart,majority,13,02168,HLIG,
S001150,,Adam B. Schiff,minority,1,01635,HLIG,Ranking Member
H001047,,James A. Himes,minority,2,01913,HLIG,
S001185,,Terri A. Sewell,minority,3,01988,HLIG,
C001072,,André Carson,minority,4,01889,HLIG,
S001175,,Jackie Speier,minority,5,01890,HLIG,
Q000023,,Mike Quigley,minority,6,01967,HLIG,
S001193,,Eric Swalwell,minority,7,02104,HLIG,
C001091,,Joaquin Castro,minority,9,02163,HLIG,
L000554,,Frank A. LoBiondo,majority,1,00699,HLIG01,Chair
C001062,,K. Michael Conaway,majority,2,01805,HLIG01,
K000210,,Peter T. King,majority,3,00635,HLIG01,
R000583,,Thomas J. Rooney,majority,5,01916,HLIG01,
P000602,,Mike Pompeo,majority,6,02022,HLIG01,
S001193,,Eric Swalwell,minority,1,02104,HLIG01,Ranking Member
H001047,,James A. Himes,minority,2,01913,HLIG01,
C001072,,André Carson,minority,3,01889,HLIG01,
C001091,,Joaquin Castro,minority,4,02163,HLIG01,
C001062,,K. Michael Conaway,majority,3,01805,HLIG02,
K000210,,Peter T. King,majority,4,00635,HLIG02,
P000602,,Mike Pompeo,majority,5,02022,HLIG02,
R000435,,Ileana Ros-Lehtinen,majority,6,00985,HLIG02,
H001047,,James A. Himes,minority,1,01913,HLIG02,Ranking Member
S001175,,Jackie Speier,minority,2,01890,HLIG02,
Q000023,,Mike Quigley,minority,3,01967,HLIG02,
R000583,,Thomas J. Rooney,majority,1,01916,HLIG03,Chair
L000554,,Frank A. LoBiondo,majority,2,00699,HLIG03,
T000463,,Michael R. Turner,majority,4,01741,HLIG03,
W000815,,Brad R. Wenstrup,majority,5,02152,HLIG03,
S001192,,Chris Stewart,majority,6,02168,HLIG03,
Q000023,,Mike Quigley,minority,1,01967,HLIG03,Ranking Member
S001185,,Terri A. Sewell,minority,2,01988,HLIG03,
C001072,,André Carson,minority,3,01889,HLIG03,
S001175,,Jackie Speier,minority,4,01890,HLIG03,
R000435,,Ileana Ros-Lehtinen,majority,3,00985,HLIG04,
T000463,,Michael R. Turner,majority,4,01741,HLIG04,
W000815,,Brad R. Wenstrup,majority,5,02152,HLIG04,
S001192,,Chris Stewart,majority,6,02168,HLIG04,
S001185,,Terri A. Sewell,minority,1,01988,HLIG04,Ranking Member
S001193,,Eric Swalwell,minority,2,02104,HLIG04,
C001091,,Joaquin Castro,minority,4,02163,HLIG04,
G000566,,Trey Gowdy,majority,1,02058,HLZI,Chair
J000289,,Jim Jordan,majority,3,01868,HLZI,
R000580,,Peter J. Roskam,majority,4,01848,HLZI,
P000602,,Mike Pompeo,majority,5,02022,HLZI,
R000591,,Martha Roby,majority,6,01986,HLZI,
B001284,,Susan W. Brooks,majority,7,02129,HLZI,
C000984,,Elijah E. Cummings,minority,1,00256,HLZI,Ranking Member
S000510,,Adam Smith,minority,2,01528,HLZI,
S001150,,Adam B. Schiff,minority,3,01635,HLZI,
S001156,,Linda T. Sánchez,minority,4,01757,HLZI,
D000622,,Tammy Duckworth,minority,5,02123,HLZI,
